iter	Passed	Remaining
412	3375	4797
413	3382	4787
414	3388	4776
415	3394	4765
416	3401	4755
417	3407	4744
418	3413	4733
419	3419	4722
420	3425	4711
421	3432	4700
422	3438	4689
423	3443	4678
424	3451	4669
425	3457	4658
426	3463	4647
427	3469	4637
428	3476	4626
429	3481	4615
430	3488	4605
431	3494	4594
432	3501	4584
433	3507	4574
434	3513	4563
435	3520	4553
436	3526	4542
437	3532	4532
438	3539	4522
439	3545	4512
440	3551	4502
441	3558	4492
442	3564	4482
443	3570	4471
444	3576	4461
445	3584	4452
446	3590	4442
447	3597	4432
448	3603	4422
449	3610	4412
450	3616	4402
451	3622	4392
452	3628	4381
453	3634	4371
454	3641	4361
455	3647	4351
456	3654	4342
457	3660	4332
458	3667	4322
459	3673	4312
460	3679	4302
461	3685	4292
462	3692	4282
463	3699	4273
464	3705	4262
465	3711	4253
466	3717	4243
467	3725	4234
468	3731	4225
469	3737	4215
470	3744	4205
471	3750	4195
472	3757	4186
473	3763	4176
474	3769	4166
475	3775	4156
476	3781	4146
477	3787	4136
478	3794	4126
479	3800	4117
480	3806	4107
481	3812	4096
482	3818	4087
483	3824	4077
484	3830	4067
485	3836	4057
486	3842	4047
487	3848	4038
488	3854	4028
489	3860	4018
490	3867	4009
491	3873	3999
492	3879	3989
493	3885	3979
494	3891	3969
495	3897	3960
496	3903	3950
497	3909	3940
498	3915	3931
499	3921	3921
500	3927	3911
501	3933	3902
502	3939	3892
503	3945	3883
504	3951	3873
505	3957	3863
506	3963	3854
507	3969	3844
508	3975	3835
509	3981	3825
510	3987	3816
511	3993	3806
512	4000	3797
513	4005	3787
514	4012	3778
515	4018	3768
516	4023	3759
517	4029	3749
518	4035	3740
519	4041	3730
520	4047	3721
521	4053	3712
522	4062	3705
523	4068	3696
524	4074	3686
525	4080	3677
526	4087	3668
527	4092	3658
528	4098	3649
529	4104	3640
530	4110	3630
531	4116	3621
532	4122	3612
533	4128	3603
534	4134	3593
535	4140	3584
